county,code,amenity,rank,rrank
"Ventura County, CA",6111,11.17,7,1
"Humboldt County, CA",6023,11.15,7,2
"Santa Barbara County, CA",6083,10.97,7,3
"Mendocino County, CA",6045,10.93,7,4
"Del Norte County, CA",6015,10.75,7,5
"San Francisco County, CA",6075,10.52,7,6
"Los Angeles County, CA",6037,10.33,7,7
"San Diego County, CA",6073,9.78,7,8
"Monterey County, CA",6053,9.24,7,9
"Orange County, CA",6059,8.74,7,10
"Lake County, CO",8065,8.52,7,11
"Santa Cruz County, CA",6087,8.49,7,12
"Contra Costa County, CA",6013,8.36,7,13
"Calaveras County, CA",6009,8.27,7,14
"Mariposa County, CA",6043,8.25,7,15
"Mono County, CA",6051,8.21,7,16
"San Mateo County, CA",6081,8.19,7,17
"Marin County, CA",6041,8.14,7,18
"Summit County, CO",8117,8.08,7,19
"Sonoma County, CA",6097,7.93,7,20
"San Luis Obispo County, CA",6079,7.87,7,21
"Douglas County, NV",32005,7.61,7,22
"Napa County, CA",6055,7.53,7,23
"Gila County, AZ",4007,7.5,7,24
"Grand County, CO",8049,7.47,7,25
"Alpine County, CA",6003,7.41,7,26
"Carson City, NV",32510,7.29,7,27
"Nevada County, CA",6057,7.26,7,28
"Amador County, CA",6005,7.23,7,29
"Stanislaus County, CA",6099,7.21,7,30
"San Juan County, CO",8111,7.16,7,31
"Cochise County, AZ",4003,7.13,7,32
"Park County, CO",8093,7.11,7,33
"Tuolumne County, CA",6109,7.1,7,34
"Inyo County, CA",6027,7.08,7,35
"Gilpin County, CO",8047,6.97,7,36
"Clear Creek County, CO",8019,6.96,7,37
"Hinsdale County, CO",8053,6.9,7,38
"Douglas County, OR",41019,6.78,6,39
"Washoe County, NV",32031,6.77,6,40
"Sierra County, NM",35051,6.72,6,41
"Riverside County, CA",6065,6.64,6,42
"Plumas County, CA",6063,6.55,6,43
"Lake County, CA",6033,6.55,6,43
"Clallam County, WA",53009,6.52,6,45
"Curry County, OR",41015,6.47,6,46
"Chaffee County, CO",8015,6.46,6,47
"Jackson County, CO",8057,6.45,6,48
"Grant County, NM",35017,6.45,6,48
"Imperial County, CA",6025,6.45,6,48
"Lassen County, CA",6035,6.35,6,51
"Teller County, CO",8119,6.29,6,52
"Catron County, NM",35003,6.24,6,53
"Pitkin County, CO",8097,6.14,6,54
"Deschutes County, OR",41017,6.1,6,55
"El Dorado County, CA",6017,6.1,6,55
"Ouray County, CO",8091,6.08,6,57
"Lincoln County, OR",41041,6.06,6,58
"Monroe County, FL",12087,6.05,6,59
"Fresno County, CA",6019,6.03,6,60
"Placer County, CA",6061,6,6,61
"Madera County, CA",6039,6,6,61
"Santa Clara County, CA",6085,5.95,6,63
"Santa Cruz County, AZ",4023,5.95,6,63
"Jeff Davis County, TX",48243,5.93,6,65
"Sierra County, CA",6091,5.9,6,66
"Solano County, CA",6095,5.88,6,67
"Mohave County, AZ",4015,5.84,6,68
"Bandera County, TX",48019,5.83,6,69
"La Plata County, CO",8067,5.83,6,69
"Boulder County, CO",8013,5.82,6,71
"Mineral County, CO",8079,5.79,6,72
"Mineral County, NV",32021,5.71,6,73
"Lyon County, NV",32019,5.7,6,74
"Shasta County, CA",6089,5.69,6,75
"Tulare County, CA",6107,5.65,6,76
"Larimer County, CO",8069,5.62,6,77
"Jefferson County, CO",8059,5.61,6,78
"Custer County, CO",8027,5.61,6,78
"Archuleta County, CO",8007,5.58,6,80
"Tillamook County, OR",41057,5.54,6,81
"Davis County, UT",49011,5.54,6,81
"Coos County, OR",41011,5.53,6,83
"Churchill County, NV",32001,5.42,6,85
"Carbon County, WY",56007,5.41,6,86
"Teton County, WY",56039,5.39,6,87
"Martin County, FL",12085,5.34,6,88
"Jefferson County, WA",53031,5.31,6,89
"Sublette County, WY",56035,5.29,6,90
"Routt County, CO",8107,5.29,6,90
"Whatcom County, WA",53073,5.26,6,92
"Rio Grande County, CO",8105,5.26,6,92
"Rio Arriba County, NM",35039,5.23,6,94
"Lee County, FL",12071,5.23,6,94
"Mora County, NM",35033,5.22,6,96
"Yavapai County, AZ",4025,5.21,6,97
"Mason County, WA",53045,5.2,6,98
"Huerfano County, CO",8055,5.2,6,98
"Val Verde County, TX",48465,5.2,6,98
"San Benito County, CA",6069,5.2,6,98
"Graham County, AZ",4009,5.2,6,98
"Greenlee County, AZ",4011,5.18,6,103
"Douglas County, CO",8035,5.15,6,104
"Klamath County, OR",41035,5.15,6,104
"El Paso County, CO",8041,5.15,6,104
"Glades County, FL",12043,5.15,6,104
"San Miguel County, CO",8113,5.14,6,108
"Palm Beach County, FL",12099,5.14,6,108
"Alameda County, CA",6001,5.13,6,110
"Lincoln County, WY",56023,5.12,6,111
"Butte County, CA",6007,5.11,6,112
"Storey County, NV",32029,5.11,6,112
"Yolo County, CA",6113,5.1,6,114
"Charlotte County, FL",12015,5.1,6,114
"Crook County, OR",41013,5.06,6,116
"Pinellas County, FL",12103,5.05,6,117
"Rich County, UT",49033,5.03,6,118
"St. Lucie County, FL",12111,5.03,6,118
"Collier County, FL",12021,5,6,120
"Jefferson County, OR",41031,4.99,6,121
"Modoc County, CA",6049,4.99,6,121
"Columbia County, OR",41009,4.98,6,123
"Conejos County, CO",8021,4.98,6,123
"Broward County, FL",12011,4.98,6,123
"Clatsop County, OR",41007,4.97,6,126
"Yuba County, CA",6115,4.97,6,126
"Nye County, NV",32023,4.97,6,126
"Eddy County, NM",35015,4.97,6,126
"Summit County, UT",49043,4.96,6,130
"Costilla County, CO",8023,4.96,6,130
"Skagit County, WA",53057,4.94,6,132
"Gunnison County, CO",8051,4.94,6,132
"Utah County, UT",49049,4.93,6,134
"Coconino County, AZ",4005,4.93,6,134
"Wasatch County, UT",49051,4.92,6,136
"Albany County, WY",56001,4.91,6,137
"Saguache County, CO",8109,4.91,6,137
"Maricopa County, AZ",4013,4.87,6,139
"Clark County, NV",32003,4.86,6,140
"Pacific County, WA",53049,4.85,6,141
"Kern County, CA",6029,4.84,6,142
"Fremont County, CO",8043,4.82,6,143
"Sarasota County, FL",12115,4.78,6,144
"San Joaquin County, CA",6077,4.77,6,145
"Dona Ana County, NM",35013,4.77,6,145
"Kendall County, TX",48259,4.72,6,147
"Indian River County, FL",12061,4.72,6,147
"Okeechobee County, FL",12093,4.7,6,149
"Glacier County, MT",30035,4.69,6,150
"Snohomish County, WA",53061,4.68,6,151
"Manatee County, FL",12081,4.66,6,152
"Pierce County, WA",53053,4.62,6,153
"Valley County, ID",16085,4.59,5,154
"Brewster County, TX",48043,4.58,5,155
