Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,130.4238484661,128.1980582832,117.2814012762,108.0145510288,121.8593035783,143.7839061262,158.3050232019,162.8275093589,186.8717488701,194.8966661296,219.5297994514,246.9143271075,251.0145229856
GDP per capita (current US$),NY.GDP.PCAP.CD,Malawi,MWI,153.9996381587,147.6793904406,223.4600948397,198.113275074,208.8557635393,213.1566745316,234.2124678009,265.996882099,302.4973020152,345.1948684066,359.5794213755,364.0876591898,266.5889121681
GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,163.6401097699,170.6961621406,183.6698779448,222.8992463991,240.217438675,258.2817603313,266.5794372075,302.2663968391,366.630642796,352.6851072324,359.8012576295,388.1648935454,404.6274173925
GDP per capita (current US$),NY.GDP.PCAP.CD,Liberia,LBR,182.9427730964,171.7370791096,174.5545681456,130.9125918266,146.6412406777,165.7600835698,178.4538335079,209.8141611029,231.4474959951,302.2802046509,326.6044330144,376.9282803061,413.758415594
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,406.5677033223,154.4248583307,176.2636180642,175.3415684013,196.1900279602,221.4496928178,257.1738007694,286.1447493135,326.5279563099,301.9325213674,330.0032519764,373.039976556,417.977041445
GDP per capita (current US$),NY.GDP.PCAP.CD,Madagascar,MDG,246.2826409653,278.9874499305,262.7418197514,317.4220316916,245.6704529353,275.5158225116,292.9909443061,379.0674152678,472.3793997539,417.1785259837,414.1427872187,456.3278968222,444.9546285106
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,124.8389564075,121.1257449968,112.2372460104,119.7906835551,136.7856661814,162.8146097224,195.1811874665,244.9955658161,327.6025513177,382.3449029843,343.6901516396,357.4411930524,472.1603060132
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,251.3526400631,251.5718069714,263.1597030631,297.6143873494,326.1973133396,340.9078669472,365.4970900532,413.4814235475,474.3894319343,464.5132222251,456.5634285386,494.9260950803,479.4710175948
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,342.4785195417,318.5306699393,326.079948175,374.4268445134,390.8845623321,306.7011510352,299.1770766459,411.484706879,437.8056826735,435.1756628541,435.4488880124,454.0022775647,494.8995397828
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,179.3116049379,183.4325247633,170.3394647427,194.5760269867,237.7127366286,226.2896113577,240.5468162509,252.9776299355,256.4375698082,334.0648851513,368.7477581969,439.5423714258,504.3234084
GDP per capita (current US$),NY.GDP.PCAP.CD,"Gambia, The",GMB,637.1042711739,542.6821777823,442.5269095548,361.1578374335,415.8139681878,434.4954440201,441.9196561883,522.3399172786,612.0285782844,553.1065282291,566.3481084099,521.1952440068,509.3875908364
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GNB,290.717319829,301.3472380341,312.4648099408,350.1415589318,381.8757432395,412.7932776366,407.4114417418,468.6309873531,569.6462359693,532.4613388202,534.1475780594,679.4932984928,576.389848881
GDP per capita (current US$),NY.GDP.PCAP.CD,Low income,LIC,257.9035227054,225.7514541491,235.6727694401,250.1850696872,276.6168751424,312.9815086647,340.7651926248,398.7976133056,468.4619169796,478.8153375001,505.4009126986,552.4009022905,588.5829355756
GDP per capita (current US$),NY.GDP.PCAP.CD,Togo,TGO,266.046452856,266.8807968873,287.8071866877,318.25525631,358.8603201508,381.7820196551,387.4198489105,432.4844132021,528.3375884815,514.7730044785,503.1618239941,580.322408806,589.4653959693
GDP per capita (current US$),NY.GDP.PCAP.CD,Mozambique,MOZ,235.8383060524,216.9227346602,217.4614873504,234.7954103126,278.7826934543,313.1079296721,328.7077425507,411.138998887,485.4585391315,458.8199227833,422.2079265363,536.8754950967,592.5540677762
GDP per capita (current US$),NY.GDP.PCAP.CD,Rwanda,RWA,206.6490713215,191.1740356147,186.6417480171,202.2732381899,225.7513897762,273.7661007633,321.948597054,380.2773293994,469.1961097393,504.1935281795,525.8549337463,574.8874856977,630.108441595
GDP per capita (current US$),NY.GDP.PCAP.CD,Sierra Leone,SLE,153.6017699103,251.2947087928,275.7603665744,291.0060543458,290.4135257582,317.9468514105,356.9673709304,398.5396777627,452.8914955017,434.9974609724,448.19837516,499.891028256,633.7669839707
GDP per capita (current US$),NY.GDP.PCAP.CD,Uganda,UGA,255.1218662814,232.8003900733,238.1551310365,236.1053445076,285.9641589901,313.7989723613,334.6391884566,400.0427874014,448.0668583366,517.0612833406,553.2625598213,530.9340000819,652.7495902255
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,226.8016078245,235.4618011575,260.6935810881,332.2270835441,371.217993361,406.998837384,422.8448252364,475.6756020579,570.930366627,554.4348077245,577.8508787917,670.450233677,678.3697361889
GDP per capita (current US$),NY.GDP.PCAP.CD,Nepal,NPL,236.9828442866,253.9433948521,251.0438721619,258.1178555123,291.8690418489,321.4550186477,352.8009746995,397.9040178609,477.9321763625,484.2724832401,596.0905496918,696.469243134,686.1489121688
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,..,115.3125095049,185.959290112,198.2877991337,220.0562878237,252.407892507,275.350971778,373.5910916106,376.9774940042,450.6589877475,561.1981879537,616.0434186213,688.5787841504
GDP per capita (current US$),NY.GDP.PCAP.CD,Mali,MLI,236.0961101427,248.9630622832,307.1697218721,388.8183730861,421.1704287618,444.2846436102,496.7442830963,561.4963327309,665.0546887954,661.131711434,673.6946613867,738.5544780497,696.1823129262
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,339.4730256974,348.3345495262,378.658708433,464.0461430461,511.2929788823,532.6109982448,557.2324469048,633.0045634185,739.2452142962,712.5454070983,690.0022810842,745.3918674613,750.5131242477
GDP per capita (current US$),NY.GDP.PCAP.CD,Haiti,HTI,460.915334529,412.4250190909,391.9116418901,329.0607787925,387.4859783105,465.4370554718,506.7069073082,618.614523825,679.4312869321,674.3000007628,669.1867911028,749.2207106626,775.5445639089
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,382.1603212244,406.0951561474,443.7504420863,556.6473454717,628.8862806773,633.1812714815,658.7100831182,730.8792639979,805.7017234933,786.9083090523,776.618611219,837.2871000761,795.6285505453
GDP per capita (current US$),NY.GDP.PCAP.CD,Tanzania,TZA,308.1440923245,306.2721518838,310.6316441783,326.4841538554,349.6209314738,448.9298844729,479.7036583844,538.388895261,665.8375488544,674.2321348217,712.2331641216,745.6113308746,836.4524887081
GDP per capita (current US$),NY.GDP.PCAP.CD,Heavily indebted poor countries (HIPC),HPC,327.2355803837,301.9339202358,318.0009706922,352.7360543969,393.6321644727,442.7841186102,516.1330148255,600.2384275267,703.8929847981,689.3618435649,741.7550970831,805.4168687848,840.8609323139
GDP per capita (current US$),NY.GDP.PCAP.CD,Least developed countries: UN classification,LDC,303.4368057425,285.1556494421,300.1732527184,328.6571979881,372.4435784872,430.7884785323,490.6431588013,588.5650408814,708.4768649894,689.7693671052,752.8417658691,831.5852659192,861.1970204109
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,403.146026944,400.7384325045,399.4275436859,432.2197292783,460.9942869348,485.1563612065,495.752931394,543.5851601012,619.2559213001,685.4559636047,762.80373951,841.5274954733,862.0539270606
GDP per capita (current US$),NY.GDP.PCAP.CD,Zimbabwe,ZWE,535.0402906287,538.4533497612,501.7131187108,451.9486506186,457.3841410971,452.7890249618,427.8343859643,415.3754819406,345.4074341595,632.8752670975,723.1646448527,820.1543148056,908.7823232459
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,298.9503625023,319.084862421,337.077258666,360.1448904589,405.9378328355,471.1625029369,536.6642700787,628.4320108941,742.5774345812,735.4133471866,782.6195057239,878.3830177919,945.4946463887
GDP per capita (current US$),NY.GDP.PCAP.CD,Tajikistan,TJK,139.109141559,171.8421973632,190.6763421169,238.0120375603,311.5502446557,339.7680767704,406.9623912808,523.0631841285,709.4322724962,668.6192010996,739.7378227534,834.6616740428,953.0585462131
GDP per capita (current US$),NY.GDP.PCAP.CD,South Sudan,SDS,..,..,..,..,..,..,..,..,1705.3841413359,1284.7184886001,1582.1267516307,1717.2415877074,956.7660467565
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,166.8513392622,198.2791150093,221.8337349474,293.9101858926,456.7944394133,663.7096973568,716.6389959747,807.7815699059,938.471828777,813.7560301613,909.2999069165,1006.3197705477,993.564933733
GDP per capita (current US$),NY.GDP.PCAP.CD,Senegal,SEN,474.5241577647,482.0184933575,513.3625289238,642.6130346257,732.2812349752,772.5267929638,807.9747503704,947.8897703233,1093.763690755,1017.9685808775,998.5996198779,1083.2617078353,1023.2886438368
GDP per capita (current US$),NY.GDP.PCAP.CD,Timor-Leste,TMP,431.12285244,518.7335098404,493.6805553239,485.3385959894,481.9092707555,499.5477617513,463.4388766162,550.477507233,672.3620446782,779.6743286985,875.8365692713,1002.3277567137,1105.3493687324
GDP per capita (current US$),NY.GDP.PCAP.CD,Lesotho,LSO,415.500118698,377.4513701746,348.3200515953,510.4219430393,645.5027111893,710.5178168193,736.3653882009,816.7961254253,826.8294439788,860.0903602685,1088.8518919204,1243.3291921258,1162.0625575943
GDP per capita (current US$),NY.GDP.PCAP.CD,Kenya,KEN,406.1159276717,404.21669507,398.4101558728,439.5963077507,462.0502121895,523.6137891975,702.5920213831,846.5230408783,925.7704301818,929.6110313961,977.7669839634,998.2283810389,1167.4926906546
